Image Name,Chi-Squared Distance
image_0101.jpg,2733.78
image_0264.jpg,2793.58
image_1096.jpg,2800.07
image_0124.jpg,2838.25
image_0455.jpg,2854.94
image_0410.jpg,2857.28
image_0987.jpg,2870.27
image_0879.jpg,2880.41
image_0859.jpg,2962.34
image_0027.jpg,2975.22
image_0292.jpg,2989.74
image_0212.jpg,3001.59
image_0507.jpg,3078.71
image_0701.jpg,3149.65
image_0508.jpg,3150.75
image_1306.jpg,3170.16
image_0796.jpg,3188.0
image_0222.jpg,3208.71
image_1127.jpg,3300.33
image_0793.jpg,3322.41
image_0792.jpg,3335.05
image_1287.jpg,3369.88
image_0525.jpg,3405.73
image_1101.jpg,3437.72
image_0146.jpg,3450.46
image_1149.jpg,3460.44
image_1296.jpg,3478.7
image_0140.jpg,3494.15
image_0254.jpg,3546.53
image_1207.jpg,3559.62
image_0939.jpg,3567.14
image_0776.jpg,3579.25
image_0997.jpg,3633.62
image_0051.jpg,3637.79
image_0028.jpg,3645.5
image_0489.jpg,3712.32
image_0349.jpg,3735.42
image_0043.jpg,3746.39
image_0499.jpg,3754.39
image_1188.jpg,3847.32
image_0753.jpg,3939.18
image_0736.jpg,4004.74
image_0213.jpg,4050.8
image_0219.jpg,4071.74
image_1134.jpg,4073.79
image_0764.jpg,4140.92
image_1209.jpg,4203.06
image_0095.jpg,4261.84
image_0187.jpg,4381.92
image_0560.jpg,4422.67
image_1097.jpg,4458.54
image_1181.jpg,4518.07
image_1223.jpg,4518.69
image_0334.jpg,4564.33
image_0712.jpg,4635.7
image_0576.jpg,4642.01
image_0326.jpg,4675.05
image_0801.jpg,4749.7
image_0030.jpg,4769.34
image_0533.jpg,4780.57
image_0739.jpg,4788.82
image_0129.jpg,4873.53
image_0461.jpg,4879.64
image_0368.jpg,4915.16
image_0322.jpg,4916.21
image_0062.jpg,4962.41
image_1031.jpg,5090.47
image_1210.jpg,5252.05
image_0501.jpg,5286.64
image_0535.jpg,5381.81
image_0226.jpg,5482.99
image_0787.jpg,5491.69
image_0107.jpg,5533.24
image_0750.jpg,5592.38
image_0057.jpg,5630.4
image_1081.jpg,5706.96
image_1244.jpg,5712.99
image_0389.jpg,5891.31
image_1304.jpg,5892.9
image_0884.jpg,5908.11
image_0778.jpg,5999.63
image_0296.jpg,6158.3
image_0885.jpg,6286.46
image_0149.jpg,6289.71
image_0045.jpg,6330.04
image_1114.jpg,6359.17
image_0042.jpg,6394.47
image_0002.jpg,6407.39
image_1284.jpg,6407.67
image_1126.jpg,6469.78
image_0743.jpg,6484.87
image_0650.jpg,6496.66
image_1354.jpg,6583.99
image_1045.jpg,6634.96
image_1198.jpg,6871.72
image_0482.jpg,6887.21
image_0194.jpg,6908.07
image_0868.jpg,7000.04
image_1072.jpg,7029.06
image_0145.jpg,7087.76
image_0382.jpg,7088.99
image_0147.jpg,7133.06
image_0261.jpg,7205.66
image_0809.jpg,7346.41
image_0552.jpg,7372.64
image_0452.jpg,7468.33
image_1111.jpg,7471.01
image_0323.jpg,7484.54
image_0534.jpg,7485.06
image_0509.jpg,7558.55
